"","GATA3","AR","MEK1","PDK1","Notch1","p90RSK_Caution"
"88",-0.318842,0.010027,0.116985,0.266314,-0.04997,-0.42808
"89",0.794481,-0.083565,-0.141665,-0.108426,0.599224,-0.775111
"90",-0.473728,-0.062502,0.114474,-0.139735,-0.484629,0.156545
"91",-0.489548,0.509695,-0.43286,0.258899,0.358782,0.096287
"92",-0.013808,-0.137129,-0.662928,-0.093017,-0.313461,-0.501881
"93",0.204476,0.017255,0.226238,0.093967,0.418842,0.114689
"94",2.35868,0.490656,0.052888,-0.023015,0.232086,0.017601
"95",-0.488216,-0.112058,0.43477,-0.264875,0.030467,0.640499
"96",-0.154474,0.788568,-0.250984,-0.128531,-0.15898,-0.57861
"97",-0.408582,-0.145855,-0.41697,0.157069,0.683258,0.103754
"98",-0.007063,-0.052092,-0.538877,-0.312208,0.245189,-0.189949
"99",-0.224802,-0.128461,0.26535,0.638889,0.016276,0.588843
"100",-0.190886,-0.224023,-0.190375,-0.049428,0.297933,0.498909
"101",-0.223084,1.214534,-0.310637,-0.079875,-0.098416,0.046092
"102",0.041845,-0.096189,0.623512,0.364271,0.310922,-0.213871
"103",0.202578,0.237111,-0.48984,0.538372,-0.874401,-0.599805
"104",0.128207,0.10453,0.280008,-0.282231,0.057206,0.021571
"105",-0.283483,0.121889,0.219482,-0.172913,-0.451338,-0.297143
"106",-0.456009,0.650786,-0.104404,0.095282,1.424821,-1.25267
"107",-0.256318,0.145674,0.186298,0.063627,0.665568,-0.434951
"108",-0.723187,-0.094258,0.084402,0.188365,-0.84504,-1.106997
"109",0.387977,0.149946,0.460104,0.185741,0.282728,-0.038252
"110",-0.033073,0.114396,-0.189963,0.005087,-0.583111,0.086489
"111",-0.415665,0.234539,-0.605887,0.099795,1.165813,-0.39103
"112",-0.138895,-0.059307,0.289539,-0.123347,-0.039723,-0.2691
"113",-0.130209,0.344319,0.276178,-0.097743,0.611312,-0.372987
"114",0.464647,-0.20758,-1.298316,0.083177,1.028031,-0.638045
"115",-0.635365,0.632608,0.140929,-0.008469,0.698051,-0.487765
"116",-0.58089,-0.385697,0.306197,-0.550438,0.54474,1.087137
"117",0.225218,-0.041835,-1.168315,-0.153051,0.091094,-0.026655
"118",-0.539586,1.656562,0.129098,0.474578,1.256887,0.80739
"119",0.262246,0.077269,0.8027,0.02285,0.158501,0.233391
"120",1.110226,0.858256,0.328947,-0.060715,0.234546,0.187506
"121",3.931537,2.643812,0.066919,1.057818,-0.195536,0.094271
"122",0.225604,-0.393394,0.379961,0.440539,0.43905,0.072227
"123",0.134107,-0.00364,0.20849,0.126451,-0.25325,-0.491489
"124",0.168328,0.116946,-0.414104,-0.148657,-0.524047,0.036533
"125",0.092489,0,-0.087568,0.435703,-0.782326,-0.823196
"126",-0.456829,-0.093817,0.48978,-0.274975,-0.392903,0.259031
"127",0.054395,0.042609,-0.71487,0.256945,-0.223271,0.491502
"128",-0.48584,-0.178606,-0.036408,0.3358,-0.1093,-0.031848
"129",-0.272273,0.923214,-0.238435,-0.006185,0.18326,0.25117
"130",-0.266693,0.923669,0.469699,-0.281828,-0.353934,0.042202
"131",0.061526,0.077209,-1.064194,0.022056,-0.257977,-0.358782
"132",-0.302522,0.837152,0.107916,-0.021582,0.143658,-0.81514
"133",0.701066,-0.154834,0.333889,-0.119614,0.17292,-0.684228
"134",-0.170768,0.029082,0.390783,-0.282343,-0.122511,-0.15293
"135",0.766933,0.002195,-0.476782,-0.214665,-0.118668,-0.165449
"136",-0.29002,0.051719,-0.410409,0.245566,-0.040854,0.020491
"137",-0.043506,-0.246537,0.234982,-0.234303,0.522565,0.094824
"138",0.643276,0.021486,0.840511,-0.044923,0.7265,-0.268057
"139",-0.135422,-0.126012,-0.115228,-0.049995,0.202048,-0.639598
"140",0.059786,0.705149,-0.60317,0.359705,-0.202606,0.271525
